sid,hemi,min_eccen,max_eccen,delta_angle,meridian,label,surface_area_mm2
100610,lh,0.0,3.5,10,horizontal,V1d,132.671875
100610,lh,0.0,3.5,10,horizontal,V1v,151.51034545898438
100610,lh,0.0,3.5,10,vertical,V1d,86.64818572998047
100610,lh,0.0,3.5,10,vertical,V1v,202.98623657226562
100610,lh,0.0,3.5,10,vertical,V2d,255.82545471191406
100610,lh,0.0,3.5,10,vertical,V2v,242.05889892578125
100610,lh,0.0,3.5,20,horizontal,V1d,186.37307739257812
100610,lh,0.0,3.5,20,horizontal,V1v,180.17108154296875
100610,lh,0.0,3.5,20,vertical,V1d,98.65650177001953
100610,lh,0.0,3.5,20,vertical,V1v,240.840576171875
100610,lh,0.0,3.5,20,vertical,V2d,302.83966064453125
100610,lh,0.0,3.5,20,vertical,V2v,231.4503631591797
100610,lh,0.0,3.5,30,horizontal,V1d,254.24423217773438
100610,lh,0.0,3.5,30,horizontal,V1v,219.29234313964844
100610,lh,0.0,3.5,30,vertical,V1d,126.07068634033203
100610,lh,0.0,3.5,30,vertical,V1v,273.7235412597656
100610,lh,0.0,3.5,30,vertical,V2d,303.649658203125
100610,lh,0.0,3.5,30,vertical,V2v,253.5337371826172
100610,lh,0.0,3.5,40,horizontal,V1d,315.0581359863281
100610,lh,0.0,3.5,40,horizontal,V1v,250.1446990966797
100610,lh,0.0,3.5,40,vertical,V1d,156.28375244140625
100610,lh,0.0,3.5,40,vertical,V1v,272.1565856933594
100610,lh,0.0,3.5,40,vertical,V2d,357.04901123046875
100610,lh,0.0,3.5,40,vertical,V2v,312.3453369140625
100610,lh,0.0,3.5,50,horizontal,V1d,331.13720703125
100610,lh,0.0,3.5,50,horizontal,V1v,245.3055419921875
100610,lh,0.0,3.5,50,vertical,V1d,201.83331298828125
100610,lh,0.0,3.5,50,vertical,V1v,273.7235412597656
100610,lh,0.0,3.5,50,vertical,V2d,419.30279541015625
100610,lh,0.0,3.5,50,vertical,V2v,397.82843017578125
100610,lh,1.0,6.0,10,horizontal,V1d,133.89401245117188
100610,lh,1.0,6.0,10,horizontal,V1v,287.3617248535156
100610,lh,1.0,6.0,10,vertical,V1d,91.70234680175781
100610,lh,1.0,6.0,10,vertical,V1v,191.99635314941406
100610,lh,1.0,6.0,10,vertical,V2d,178.50308227539062
100610,lh,1.0,6.0,10,vertical,V2v,242.13597106933594
100610,lh,1.0,6.0,20,horizontal,V1d,210.0578155517578
100610,lh,1.0,6.0,20,horizontal,V1v,279.02545166015625
100610,lh,1.0,6.0,20,vertical,V1d,134.2426300048828
100610,lh,1.0,6.0,20,vertical,V1v,243.97323608398438
100610,lh,1.0,6.0,20,vertical,V2d,228.46148681640625
100610,lh,1.0,6.0,20,vertical,V2v,252.41476440429688
100610,lh,1.0,6.0,30,horizontal,V1d,285.19097900390625
100610,lh,1.0,6.0,30,horizontal,V1v,300.4923095703125
100610,lh,1.0,6.0,30,vertical,V1d,166.86959838867188
100610,lh,1.0,6.0,30,vertical,V1v,265.30548095703125
100610,lh,1.0,6.0,30,vertical,V2d,285.8147277832031
100610,lh,1.0,6.0,30,vertical,V2v,272.95947265625
100610,lh,1.0,6.0,40,horizontal,V1d,354.98138427734375
100610,lh,1.0,6.0,40,horizontal,V1v,304.5655517578125
100610,lh,1.0,6.0,40,vertical,V1d,243.33306884765625
100610,lh,1.0,6.0,40,vertical,V1v,262.84344482421875
100610,lh,1.0,6.0,40,vertical,V2d,367.6211242675781
100610,lh,1.0,6.0,40,vertical,V2v,298.60064697265625
100610,lh,1.0,6.0,50,horizontal,V1d,414.0345764160156
100610,lh,1.0,6.0,50,horizontal,V1v,353.97332763671875
100610,lh,1.0,6.0,50,vertical,V1d,297.7551574707031
100610,lh,1.0,6.0,50,vertical,V1v,293.2125244140625
100610,lh,1.0,6.0,50,vertical,V2d,411.18701171875
100610,lh,1.0,6.0,50,vertical,V2v,387.30474853515625
100610,lh,3.5,7.0,10,horizontal,V1d,74.96182250976562
100610,lh,3.5,7.0,10,horizontal,V1v,154.93411254882812
100610,lh,3.5,7.0,10,vertical,V1d,55.837162017822266
100610,lh,3.5,7.0,10,vertical,V1v,0.0
100610,lh,3.5,7.0,10,vertical,V2d,54.970184326171875
100610,lh,3.5,7.0,10,vertical,V2v,102.55738830566406
100610,lh,3.5,7.0,20,horizontal,V1d,88.50440979003906
100610,lh,3.5,7.0,20,horizontal,V1v,226.50924682617188
100610,lh,3.5,7.0,20,vertical,V1d,70.91266632080078
100610,lh,3.5,7.0,20,vertical,V1v,26.251235961914062
100610,lh,3.5,7.0,20,vertical,V2d,75.14629364013672
100610,lh,3.5,7.0,20,vertical,V2v,145.17666625976562
100610,lh,3.5,7.0,30,horizontal,V1d,126.1281509399414
100610,lh,3.5,7.0,30,horizontal,V1v,250.9438934326172
100610,lh,3.5,7.0,30,vertical,V1d,87.254638671875
100610,lh,3.5,7.0,30,vertical,V1v,31.010793685913086
100610,lh,3.5,7.0,30,vertical,V2d,127.98374938964844
100610,lh,3.5,7.0,30,vertical,V2v,159.93777465820312
100610,lh,3.5,7.0,40,horizontal,V1d,145.18441772460938
100610,lh,3.5,7.0,40,horizontal,V1v,265.906005859375
100610,lh,3.5,7.0,40,vertical,V1d,152.06414794921875
100610,lh,3.5,7.0,40,vertical,V1v,25.511777877807617
100610,lh,3.5,7.0,40,vertical,V2d,173.94635009765625
100610,lh,3.5,7.0,40,vertical,V2v,175.61178588867188
100610,lh,3.5,7.0,50,horizontal,V1d,180.93138122558594
100610,lh,3.5,7.0,50,horizontal,V1v,277.58447265625
100610,lh,3.5,7.0,50,vertical,V1d,180.22805786132812
100610,lh,3.5,7.0,50,vertical,V1v,57.30950927734375
100610,lh,3.5,7.0,50,vertical,V2d,195.45791625976562
100610,lh,3.5,7.0,50,vertical,V2v,226.48388671875
100610,rh,0.0,3.5,10,horizontal,V1d,124.52133178710938
100610,rh,0.0,3.5,10,horizontal,V1v,128.79351806640625
100610,rh,0.0,3.5,10,vertical,V1d,117.11024475097656
100610,rh,0.0,3.5,10,vertical,V1v,0.0
100610,rh,0.0,3.5,10,vertical,V2d,174.16903686523438
100610,rh,0.0,3.5,10,vertical,V2v,325.1572265625
100610,rh,0.0,3.5,20,horizontal,V1d,232.4854736328125
100610,rh,0.0,3.5,20,horizontal,V1v,193.48196411132812
100610,rh,0.0,3.5,20,vertical,V1d,171.61537170410156
100610,rh,0.0,3.5,20,vertical,V1v,84.04752349853516
100610,rh,0.0,3.5,20,vertical,V2d,178.0655059814453
100610,rh,0.0,3.5,20,vertical,V2v,229.1557159423828
100610,rh,0.0,3.5,30,horizontal,V1d,337.6729736328125
100610,rh,0.0,3.5,30,horizontal,V1v,254.5589599609375
100610,rh,0.0,3.5,30,vertical,V1d,223.00131225585938
100610,rh,0.0,3.5,30,vertical,V1v,125.79081726074219
100610,rh,0.0,3.5,30,vertical,V2d,276.99261474609375
100610,rh,0.0,3.5,30,vertical,V2v,186.22451782226562
100610,rh,0.0,3.5,40,horizontal,V1d,385.9597473144531
100610,rh,0.0,3.5,40,horizontal,V1v,318.90301513671875
100610,rh,0.0,3.5,40,vertical,V1d,274.961181640625
100610,rh,0.0,3.5,40,vertical,V1v,135.42498779296875
100610,rh,0.0,3.5,40,vertical,V2d,402.0440673828125
100610,rh,0.0,3.5,40,vertical,V2v,218.70138549804688
100610,rh,0.0,3.5,50,horizontal,V1d,454.52459716796875
100610,rh,0.0,3.5,50,horizontal,V1v,353.3626708984375
100610,rh,0.0,3.5,50,vertical,V1d,335.83392333984375
100610,rh,0.0,3.5,50,vertical,V1v,175.2299041748047
100610,rh,0.0,3.5,50,vertical,V2d,491.40777587890625
100610,rh,0.0,3.5,50,vertical,V2v,205.09515380859375
100610,rh,1.0,6.0,10,horizontal,V1d,338.7246398925781
100610,rh,1.0,6.0,10,horizontal,V1v,141.70376586914062
100610,rh,1.0,6.0,10,vertical,V1d,148.8134765625
100610,rh,1.0,6.0,10,vertical,V1v,0.0
